state,county,Donald Trump,Right_Joe Biden,Sum_total_votes,Trump ratio,Biden ratio
Alabama,Autauga County,19838,7503,27770,0.714368023,0.270183651
Alabama,Baldwin County,83544,24578,109679,0.761713728,0.2240903
Alabama,Barbour County,5622,4816,10518,0.534512265,0.457881727
Alabama,Bibb County,7525,1986,9595,0.784262637,0.206982804
Alabama,Blount County,24711,2640,27588,0.895715528,0.09569378
Alabama,Bullock County,1146,3446,4613,0.248428355,0.747019293
Alabama,Butler County,5458,3965,9488,0.575252951,0.41789629
Alabama,Calhoun County,35101,15216,50983,0.688484397,0.298452425
Alabama,Chambers County,8753,6365,15284,0.572690395,0.416448574
Alabama,Cherokee County,10583,1624,12301,0.860336558,0.132021787
Alabama,Chilton County,16085,3073,19310,0.832988089,0.159140342
Alabama,Choctaw County,4296,3127,7464,0.575562701,0.418944266
Alabama,Clarke County,7324,5755,13135,0.557594214,0.438142368
Alabama,Clay County,5601,1267,6930,0.808225108,0.182828283
Alabama,Cleburne County,6484,675,7227,0.897191089,0.093399751
Alabama,Coffee County,16899,5076,22275,0.758653199,0.227878788
Alabama,Colbert County,19203,8343,27886,0.688625117,0.299182385
Alabama,Conecuh County,3442,2966,6441,0.53438907,0.460487502
Alabama,Coosa County,3631,1796,5479,0.662712174,0.327797043
Alabama,Covington County,14586,2721,17430,0.836833046,0.156110155
Alabama,Crenshaw County,4864,1700,6617,0.735076319,0.256914009
Alabama,Cullman County,36880,4478,41851,0.881221476,0.106998638
Alabama,Dale County,14303,5170,19738,0.724642821,0.2619313
Alabama,Dallas County,5524,12230,17864,0.309225258,0.684617107
Alabama,DeKalb County,24767,4281,29356,0.843677613,0.145830495
Alabama,Elmore County,30164,10367,41030,0.735169388,0.252668779
Alabama,Escambia County,10869,4918,15910,0.683155248,0.309113765
Alabama,Etowah County,35528,11567,47728,0.744384847,0.242352497
Alabama,Fayette County,7300,1395,8766,0.832762948,0.159137577
Alabama,Franklin County,10376,2086,12578,0.824932422,0.165845126
Alabama,Geneva County,10848,1595,12545,0.864726983,0.127142288
Alabama,Greene County,875,3884,4775,0.183246073,0.813403141
Alabama,Hale County,3190,4687,7922,0.402676092,0.591643524
Alabama,Henry County,6607,2606,9298,0.710582921,0.280275328
Alabama,Houston County,32618,12917,46173,0.706430165,0.279752236
Alabama,Jackson County,19670,3717,23636,0.832205111,0.157260112
Alabama,Jefferson County,138843,181688,325848,0.426097444,0.557585132
Alabama,Lamar County,6174,978,7193,0.858334492,0.135965522
Alabama,Lauderdale County,31721,11915,44339,0.715419834,0.26872505
Alabama,Lawrence County,12322,3562,16031,0.768635768,0.222194498
Alabama,Lee County,42221,27860,71449,0.590924995,0.38992848
Alabama,Limestone County,34640,13672,49235,0.703564537,0.277688636
Alabama,Lowndes County,1836,4972,6835,0.26861741,0.727432334
Alabama,Macon County,1541,7108,8723,0.176659406,0.814857274
Alabama,Madison County,102780,87286,194767,0.527707466,0.448156002
Alabama,Marengo County,5343,5488,10900,0.490183486,0.503486239
Alabama,Marion County,12205,1463,13807,0.883971898,0.105960745
Alabama,Marshall County,33191,5943,39655,0.836994074,0.149867608
Alabama,Mobile County,101243,79474,183164,0.552745081,0.433895307
Alabama,Monroe County,6147,4455,10668,0.576209224,0.417604049
Alabama,Montgomery County,33311,64529,99139,0.336002986,0.650894199
Alabama,Morgan County,39664,13234,53722,0.738319497,0.246342281
Alabama,Perry County,1339,3860,5230,0.256022945,0.738049713
Alabama,Pickens County,5594,4022,9668,0.578609847,0.416011585
Alabama,Pike County,8042,5636,13841,0.581027382,0.407196012
Alabama,Randolph County,8559,2203,10837,0.789794223,0.203285042
Alabama,Russell County,9864,11228,21329,0.462468939,0.526419429
Alabama,Shelby County,79700,33268,114950,0.693344933,0.289412788
Alabama,St. Clair County,36166,7744,44441,0.813798069,0.174253505
Alabama,Sumter County,1598,4648,6291,0.25401367,0.738833254
Alabama,Talladega County,22235,13138,35663,0.623475311,0.368393012
Alabama,Tallapoosa County,14963,5859,20991,0.712829308,0.279119623
Alabama,Tuscaloosa County,51117,37765,90172,0.56688329,0.418810717
Alabama,Walker County,26002,4834,31170,0.834199551,0.155085018
Alabama,Washington County,6564,2258,8876,0.739522307,0.254393871
Alabama,Wilcox County,1833,4048,5903,0.310520075,0.685753007
Alabama,Winston County,10195,974,11284,0.90349167,0.086316909
Alaska,ED 1,3511,3477,7360,0.477038043,0.472418478
Alaska,ED 10,8081,2727,11256,0.717928216,0.242270789
Alaska,ED 11,7096,3130,10686,0.664046416,0.292906607
Alaska,ED 12,7893,2957,11280,0.699734043,0.26214539
Alaska,ED 13,4652,2666,7765,0.599098519,0.34333548
Alaska,ED 14,6714,4261,11534,0.582105081,0.369429513
Alaska,ED 15,2671,2622,5593,0.477561237,0.468800286
Alaska,ED 16,3516,4274,8170,0.430354957,0.523133415
Alaska,ED 17,2810,4136,7271,0.386466786,0.568835098
Alaska,ED 18,2760,4681,7759,0.355715943,0.603299394
Alaska,ED 19,1975,3118,5338,0.36998876,0.5841139
Alaska,ED 2,3674,2104,6161,0.596331764,0.341503003
Alaska,ED 20,2383,4881,7544,0.31588017,0.647004242
Alaska,ED 21,3690,5414,9482,0.389158405,0.570976587
Alaska,ED 22,4684,4553,9597,0.488069188,0.474419089
Alaska,ED 23,3655,3810,7796,0.468830169,0.48871216
Alaska,ED 24,5378,4736,10484,0.512972148,0.451735979
Alaska,ED 25,4407,4600,9369,0.470381044,0.490980894
Alaska,ED 26,5243,4558,20292,0.258377686,0.22462054
Alaska,ED 27,4324,4844,19037,0.227136629,0.254451857
Alaska,ED 28,6162,6264,25580,0.240891321,0.244878812
Alaska,ED 29,7464,2985,10784,0.692136499,0.276798961
Alaska,ED 3,6076,1903,8385,0.724627311,0.226952892
Alaska,ED 30,7180,2638,10226,0.702131821,0.257969881
Alaska,ED 31,6971,5037,12481,0.558528964,0.403573432
Alaska,ED 32,4440,3506,8361,0.531036957,0.419327832
Alaska,ED 33,3059,7535,11016,0.277687001,0.684005084
Alaska,ED 34,4543,5763,10794,0.420881971,0.533907727
Alaska,ED 35,4769,5011,10149,0.469898512,0.493743226
Alaska,ED 36,5114,3796,9292,0.550365906,0.408523461
Alaska,ED 37,2358,2560,5168,0.45626935,0.495356037
Alaska,ED 38,1737,3202,5299,0.327797698,0.604264956
Alaska,ED 39,1939,3580,5930,0.32698145,0.603709949
Alaska,ED 4,4690,5345,10587,0.442996127,0.504864456
Alaska,ED 40,1994,2318,4628,0.430855661,0.500864304
Alaska,ED 5,4077,4204,8706,0.468297726,0.482885366
Alaska,ED 6,5770,3272,9518,0.606219794,0.3437697
Alaska,ED 7,7027,2215,9664,0.727131623,0.229201159
Alaska,ED 8,7618,1953,9957,0.765089887,0.196143417
Alaska,ED 9,7787,2769,11047,0.704897257,0.250656287
Arizona,Apache County,11442,23293,35183,0.325213882,0.662052696
Arizona,Cochise County,35557,23732,60473,0.587981413,0.392439601
Arizona,Coconino County,27052,44698,73346,0.368827203,0.60941292
Arizona,Gila County,18377,8943,27678,0.663956933,0.323108606
Arizona,Graham County,10749,4034,14996,0.716791144,0.269005068
Arizona,Greenlee County,2433,1182,3688,0.659707158,0.320498915
Arizona,La Paz County,5129,2236,7460,0.687533512,0.299731903
Arizona,Maricopa County,995665,1040774,2069475,0.481119608,0.502916923
Arizona,Mohave County,78535,24831,104705,0.750059692,0.237151998
Arizona,Navajo County,27657,23383,51783,0.534094201,0.451557461
Arizona,Pima County,207758,304981,520735,0.398970686,0.585674095
Arizona,Pinal County,107077,75106,185037,0.578678859,0.405897199
Arizona,Santa Cruz County,6194,13138,19561,0.316650478,0.671642554
Arizona,Yavapai County,91527,49602,143280,0.638798157,0.34618928
Arizona,Yuma County,36534,32210,69926,0.522466608,0.460629809
Arkansas,Arkansas County,4304,1818,6292,0.684043229,0.288938334
Arkansas,Ashley County,5548,2125,7926,0.699974767,0.268104971
Arkansas,Baxter County,15836,4635,21007,0.753843957,0.220640739
Arkansas,Benton County,73965,42249,119912,0.61682734,0.352333378
Arkansas,Boone County,13652,3064,17114,0.797709478,0.179034708
Arkansas,Bradley County,2335,1214,3654,0.639025725,0.332238643
Arkansas,Calhoun County,1636,479,2182,0.749770852,0.219523373
Arkansas,Carroll County,7424,4023,11797,0.629312537,0.341018903
Arkansas,Chicot County,1752,2260,4103,0.427004631,0.550816476
Arkansas,Clark County,4616,3438,8395,0.549851102,0.409529482
Arkansas,Clay County,4086,962,5183,0.788346517,0.185606791
Arkansas,Cleburne County,10328,1988,12680,0.814511041,0.156782334
Arkansas,Cleveland County,2867,651,3600,0.796388889,0.180833333
Arkansas,Columbia County,5500,2814,8616,0.638347261,0.326601671
Arkansas,Conway County,5694,2615,8685,0.655613126,0.30109384
Arkansas,Craighead County,25558,11921,38511,0.66365454,0.309547921
Arkansas,Crawford County,18607,4959,24091,0.772363123,0.205844506
Arkansas,Crittenden County,7333,8514,16367,0.448035682,0.520193071
Arkansas,Cross County,4946,1772,6942,0.712474791,0.255257851
Arkansas,Dallas County,1573,963,2649,0.593808985,0.363533409
Arkansas,Desha County,1921,2016,4164,0.461335255,0.484149856
Arkansas,Drew County,4349,2426,6908,0.629559931,0.35118703
Arkansas,Faulkner County,34421,18347,54428,0.632413464,0.337087528
Arkansas,Franklin County,5677,1300,7129,0.79632487,0.182353766
Arkansas,Fulton County,3961,1035,5119,0.773783942,0.202187927
Arkansas,Garland County,29069,14045,44199,0.657684563,0.31776737
Arkansas,Grant County,6794,1268,8200,0.828536585,0.154634146
Arkansas,Greene County,12670,3058,16100,0.786956522,0.189937888
Arkansas,Hempstead County,4470,2138,6848,0.652745327,0.312207944
Arkansas,Hot Spring County,9202,3082,12557,0.732818348,0.24544079
Arkansas,Howard County,3367,1340,4834,0.696524617,0.277203144
Arkansas,Independence County,11250,2806,14512,0.775220507,0.193357222
Arkansas,Izard County,4631,1021,5810,0.79707401,0.175731497
Arkansas,Jackson County,3593,1365,5091,0.705755254,0.268120212
Arkansas,Jefferson County,9521,14981,25158,0.378448207,0.595476588
Arkansas,Johnson County,6938,2283,9498,0.730469573,0.240366393
Arkansas,Lafayette County,1757,839,2679,0.655841732,0.313176558
Arkansas,Lawrence County,4569,1080,5857,0.780092197,0.184394741
Arkansas,Lee County,1286,1423,2848,0.451544944,0.499648876
Arkansas,Lincoln County,2729,1032,3875,0.704258065,0.266322581
Arkansas,Little River County,3715,1226,5177,0.717597064,0.236816689
Arkansas,Logan County,6441,1544,8225,0.783100304,0.187720365
Arkansas,Lonoke County,22884,6686,30662,0.746330963,0.218054921
Arkansas,Madison County,5658,1563,7351,0.769691198,0.212624133
Arkansas,Marion County,5783,1531,7503,0.770758363,0.204051713
Arkansas,Miller County,11920,4245,16529,0.721156755,0.256821344
Arkansas,Mississippi County,7296,4558,12342,0.591152163,0.369308054
Arkansas,Monroe County,1545,1147,2816,0.548650568,0.407315341
Arkansas,Montgomery County,3046,731,3873,0.786470436,0.188742577
Arkansas,Nevada County,2133,1076,3358,0.635199524,0.320428827
Arkansas,Newton County,3192,709,3998,0.7983992,0.177338669
Arkansas,Ouachita County,5294,3995,9629,0.549797487,0.414892512
Arkansas,Perry County,3479,1012,4627,0.751891074,0.218716231
Arkansas,Phillips County,2417,3623,6242,0.387215636,0.580422941
Arkansas,Pike County,3519,644,4246,0.828780028,0.151672162
Arkansas,Poinsett County,5918,1424,7521,0.786863449,0.189336524
Arkansas,Polk County,7035,1246,8490,0.828621908,0.146760895
Arkansas,Pope County,18081,5772,24432,0.740054028,0.236247544
Arkansas,Prairie County,2786,654,3495,0.79713877,0.187124464
Arkansas,Pulaski County,63687,101947,169956,0.3747264,0.599843489
Arkansas,Randolph County,5355,1215,6812,0.786112742,0.178361715
Arkansas,Saline County,39556,16060,56959,0.694464439,0.281957197
Arkansas,Scott County,2962,483,3551,0.834131231,0.136018023
Arkansas,Searcy County,3365,588,4019,0.837272953,0.146305051
Arkansas,Sebastian County,31198,14487,47140,0.661815868,0.307318625
Arkansas,Sevier County,3884,1116,5202,0.746635909,0.214532872
Arkansas,Sharp County,5938,1398,7566,0.784826857,0.184773989
Arkansas,St. Francis County,3242,3604,7108,0.456105796,0.507034328
Arkansas,Stone County,4616,1180,5938,0.777366117,0.198720108
Arkansas,Union County,10478,5584,16607,0.630938761,0.336243753
Arkansas,Van Buren County,6034,1593,7807,0.772896119,0.20404765
Arkansas,Washington County,47504,43824,94266,0.503935671,0.464897206
Arkansas,White County,24182,5978,30885,0.782969079,0.193556743
