SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2020,NPOPCHG_2020,BIRTHS2020,DEATHS2020,NATURALINC2020,INTERNATIONALMIG2020,DOMESTICMIG2020,NETMIG2010,NETMIG2020,RESIDUAL2020,GQESTIMATES2020,RBIRTH2020,RDEATH2020,RNATURALINC2020,RINTERNATIONALMIG2020,RDOMESTICMIG2020,RNETMIG2020
50,3,6,1,63,Alabama,Greene County,9045,9039,7990,-114,83,91,-8,0,-104,-53,-104,-2,45,10.31440288,11.3085622,-0.994159314,0,-12.92407108,-12.92407108
50,3,6,1,65,Alabama,Hale County,15760,15762,14670,1,178,203,-25,2,25,-47,27,-1,221,12.13401956,13.8382358,-1.704216231,0.136337299,1.704216231,1.840553529
50,3,6,1,67,Alabama,Henry County,17302,17296,17223,98,149,229,-80,-2,182,18,180,-2,199,8.675905439,13.3341097,-4.658204262,-0.116455107,10.5974147,10.48095959
50,3,6,1,69,Alabama,Houston County,101547,101562,106580,340,1376,1253,123,14,198,150,212,5,1418,12.9311155,11.7752091,1.1559064,0.131566582,1.860727375,1.992293957
50,3,6,1,71,Alabama,Jackson County,53227,53248,51582,-90,559,736,-177,-7,91,-50,84,3,597,10.82766769,14.2561063,-3.428438608,-0.135587968,1.762643578,1.62705561
50,3,6,1,73,Alabama,Jefferson County,658466,658564,655342,-3197,8257,7768,489,252,-3949,-854,-3697,11,16627,12.56887039,11.82451074,0.744359649,0.383596384,-6.011198883,-5.6276025
50,3,6,1,75,Alabama,Lamar County,14564,14564,13764,-53,175,223,-48,0,-5,-28,-5,0,217,12.68989522,16.17055219,-3.480656974,0,-0.362568435,-0.362568435
50,3,6,1,77,Alabama,Lauderdale County,92709,92709,93368,340,916,1217,-301,32,608,32,640,1,2411,9.828537093,13.05822013,-3.22968304,0.343355008,6.523745145,6.867100152
50,3,6,1,79,Alabama,Lawrence County,34339,34308,32857,6,332,476,-144,-3,153,-9,150,0,229,10.10531442,14.48834236,-4.383027942,-0.091313082,4.656967188,4.565654106
50,3,6,1,81,Alabama,Lee County,140247,140300,166831,1816,1754,1272,482,242,1082,331,1324,10,4960,10.57116855,7.666206614,2.90496194,1.458507862,6.521097135,7.979604998
50,3,6,1,83,Alabama,Limestone County,82782,82775,102228,3092,1037,931,106,24,2978,304,3002,-16,2734,10.29975567,9.246935897,1.052819769,0.238374287,29.57827616,29.81665044
50,3,6,1,85,Alabama,Lowndes County,11299,11302,9641,-85,110,161,-51,0,-34,-26,-34,0,96,11.3595291,16.62621986,-5.266690763,0,-3.511127175,-3.511127175
50,3,6,1,87,Alabama,Macon County,21452,21459,17895,-170,170,283,-113,1,-59,28,-58,1,1582,9.454949944,15.73971079,-6.284760845,0.055617353,-3.281423804,-3.225806452
50,3,6,1,89,Alabama,Madison County,334811,334812,379453,6906,4315,3585,730,214,5986,906,6200,-24,8186,11.47606383,9.534574468,1.941489362,0.569148936,15.92021277,16.4893617
50,3,6,1,91,Alabama,Marengo County,21027,21047,18733,-186,190,259,-69,6,-122,-40,-116,-1,254,10.09242537,13.75756932,-3.66514395,0.31870817,-6.480399448,-6.161691278
50,3,6,1,93,Alabama,Marion County,30776,30780,29703,-123,312,448,-136,8,4,45,12,1,813,10.48228595,15.05148751,-4.569201566,0.268776563,0.134388281,0.403164844
50,3,6,1,95,Alabama,Marshall County,93019,93017,96990,239,1371,1263,108,32,94,56,126,5,1044,14.15291549,13.03802499,1.114890498,0.330337925,0.970367656,1.300705581
50,3,6,1,97,Alabama,Mobile County,412992,413139,412716,-800,5393,5011,382,229,-1425,-177,-1196,14,7386,13.05444476,12.12976501,0.924679751,0.554323725,-3.449394359,-2.895070634
50,3,6,1,99,Alabama,Monroe County,23068,23066,20459,-230,182,286,-104,0,-125,-82,-125,-1,230,8.846116458,13.90104015,-5.05492369,0,-6.075629435,-6.075629435
50,3,6,1,101,Alabama,Montgomery County,229363,229365,224639,-1435,3064,2419,645,230,-2308,-93,-2078,-2,8755,13.5962353,10.73410352,2.862131778,1.02060513,-10.24155061,-9.22094548
50,3,6,1,103,Alabama,Morgan County,119490,119519,119883,253,1416,1383,33,25,191,47,216,4,2007,11.82399285,11.5484337,0.275559156,0.208756936,1.594902991,1.803659927
50,3,6,1,105,Alabama,Perry County,10591,10577,8687,-253,88,138,-50,0,-201,-27,-201,-2,723,9.984682589,15.6577977,-5.673115108,0,-22.80592273,-22.80592273
50,3,6,1,107,Alabama,Pickens County,19746,19746,19793,-147,207,283,-76,3,-75,-19,-72,1,1875,10.4195505,14.24508595,-3.825535449,0.151007978,-3.775199456,-3.624191478
50,3,6,1,109,Alabama,Pike County,32899,32902,32966,-68,353,376,-23,76,-123,57,-47,2,1912,10.6969697,11.39393939,-0.696969697,2.303030303,-3.727272727,-1.424242424
50,3,6,1,111,Alabama,Randolph County,22913,22916,22920,139,243,306,-63,0,203,30,203,-1,390,10.63434061,13.39139187,-2.757051268,0,8.883831864,8.883831864
50,3,6,1,113,Alabama,Russell County,52947,52966,58237,139,747,701,46,-11,101,242,90,3,574,12.84222289,12.05140328,0.790819616,-0.189109039,1.736364809,1.54725577
50,3,6,1,115,Alabama,St. Clair County,83593,83366,90739,1004,946,1046,-100,39,1066,134,1105,-1,1515,10.48350455,11.59169742,-1.10819287,0.432195219,11.81333599,12.24553121
50,3,6,1,117,Alabama,Shelby County,195085,195257,221428,3252,2223,1868,355,117,2789,448,2906,-9,2541,10.11364774,8.498557793,1.615089945,0.532297249,12.68869255,13.2209898
50,3,6,1,119,Alabama,Sumter County,13763,13763,12225,-133,137,160,-23,23,-133,-2,-110,0,784,11.14591384,13.01712566,-1.871211813,1.871211813,-10.8204857,-8.949273888
50,3,6,1,121,Alabama,Talladega County,82291,82348,79985,-241,845,1155,-310,23,42,-186,65,4,3251,10.54858905,14.41848562,-3.869896574,0.287121359,0.524308568,0.811429927
50,3,6,1,123,Alabama,Tallapoosa County,41616,41621,40133,-204,375,585,-210,-8,13,-110,5,1,576,9.320243569,14.53957997,-5.219336399,-0.198831863,0.323101777,0.124269914
50,3,6,1,125,Alabama,Tuscaloosa County,194656,194678,210758,437,2362,2063,299,144,-23,112,121,17,10665,11.21879742,9.79863636,1.420161062,0.683957167,-0.109243159,0.574714009
50,3,6,1,127,Alabama,Walker County,67023,67019,63143,-537,767,988,-221,4,-320,8,-316,0,852,12.0955978,15.58077005,-3.485172248,0.063080041,-5.046403255,-4.983323214
50,3,6,1,129,Alabama,Washington County,17581,17580,15976,-303,181,231,-50,3,-253,29,-250,-3,147,11.22306619,14.32336072,-3.100294528,0.186017672,-15.68749031,-15.50147264
50,3,6,1,131,Alabama,Wilcox County,11670,11664,10206,-190,123,143,-20,5,-174,-67,-169,-1,108,11.94058829,13.88214736,-1.941559072,0.485389768,-16.89156393,-16.40617416
50,3,6,1,133,Alabama,Winston County,24484,24488,23508,-192,241,362,-121,-1,-69,-76,-70,-1,301,10.21013388,15.33638366,-5.126249788,-0.042365701,-2.92323335,-2.965599051
40,4,9,2,0,Alaska,Alaska,710231,710246,731158,-2445,9733,5249,4484,1078,-7980,1643,-6902,-27,27015,13.28954007,7.167039538,6.122500531,1.471912483,-10.89597552,-9.424063038
50,4,9,2,13,Alaska,Aleutians East Borough,3141,3141,3401,46,4,7,-3,49,-2,24,47,2,1745,1.184132623,2.07223209,-0.888099467,14.50562463,-0.592066311,13.91355832
50,4,9,2,16,Alaska,Aleutians West Census Area,5561,5561,5680,-22,33,7,26,68,-115,-5,-47,-1,2542,5.798629415,1.2300123,4.568617115,11.94869092,-20.20734493,-8.258654015
50,4,9,2,20,Alaska,Anchorage Municipality,291826,292252,287095,-1695,3861,2047,1814,490,-3994,643,-3504,-5,8022,13.40892713,7.109058232,6.299868897,1.701728644,-13.8708249,-12.16909626
50,4,9,2,50,Alaska,Bethel Census Area,17013,17013,18437,-56,426,165,261,8,-325,-12,-317,0,360,23.07067425,8.935824533,14.13484972,0.433252099,-17.6008665,-17.16761441
50,4,9,2,60,Alaska,Bristol Bay Borough,997,997,788,-52,8,6,2,0,-55,5,-55,1,15,9.828009828,7.371007371,2.457002457,0,-67.56756757,-67.56756757
50,4,9,2,63,Alaska,Chugach Census Area,X,6684,6427,-82,73,34,39,5,-126,14,-121,0,183,11.28633272,5.256648114,6.029684601,0.773036487,-19.48051948,-18.70748299
50,4,9,2,66,Alaska,Copper River Census Area,X,2952,2919,33,32,2,30,3,-1,6,2,1,18,11.02497847,0.689061154,10.33591731,1.033591731,-0.344530577,0.689061154
50,4,9,2,68,Alaska,Denali Borough,1826,1827,2081,-44,14,0,14,14,-72,6,-58,0,101,6.657156443,0,6.657156443,6.657156443,-34.23680456,-27.57964812
50,4,9,2,70,Alaska,Dillingham Census Area,4847,4847,4833,-99,81,54,27,1,-126,2,-125,-1,52,16.58986175,11.05990783,5.529953917,0.204813108,-25.80645161,-25.6016385
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,97585,95651,-1437,1408,540,868,88,-2380,293,-2292,-13,4821,14.61043172,5.603432621,9.006999102,0.913151983,-24.69661044,-23.78345846
50,4,9,2,100,Alaska,Haines Borough,2508,2508,2614,53,19,5,14,1,39,2,40,-1,0,7.342995169,1.93236715,5.410628019,0.38647343,15.07246377,15.4589372
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,2095,2141,-3,19,23,-4,7,-6,0,1,0,0,8.868144691,10.73512252,-1.86697783,3.267211202,-2.800466744,0.466744457
50,4,9,2,110,Alaska,Juneau City and Borough,31275,31276,31849,-189,315,200,115,35,-339,69,-304,0,995,9.861161113,6.261054675,3.600106438,1.095684568,-10.61248767,-9.516803105
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400,55397,59414,500,680,550,130,35,335,82,370,0,1704,11.49347576,9.296193631,2.197282131,0.591575958,5.66222703,6.253802988
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477,13534,13747,-158,135,101,34,26,-217,19,-191,-1,264,9.764212354,7.30507739,2.459134963,1.880514972,-15.69506726,-13.81455229
50,4,9,2,150,Alaska,Kodiak Island Borough,13592,13606,12992,-217,145,64,81,83,-379,-8,-296,-2,388,11.06827984,4.885309721,6.182970116,6.335636044,-28.9301935,-22.59455746
50,4,9,2,158,Alaska,Kusilvak Census Area,7459,7459,8328,-56,234,109,125,10,-189,-42,-179,-2,9,28.00382958,13.04451891,14.95931068,1.196744854,-22.61847774,-21.42173289
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631,1635,1493,-90,26,16,10,0,-98,-5,-98,-2,37,16.90507152,10.40312094,6.501950585,0,-63.71911573,-63.71911573
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995,88981,110213,1635,1372,721,651,73,912,495,985,-1,2101,12.54164934,6.590764702,5.950884634,0.6673035,8.336723174,9.004026674
50,4,9,2,180,Alaska,Nome Census Area,9492,9492,9909,-131,167,113,54,4,-189,22,-185,0,188,16.74269387,11.32888867,5.413805203,0.401022608,-18.94831821,-18.5472956
50,4,9,2,185,Alaska,North Slope Borough,9430,9018,9294,-139,144,71,73,7,-218,5,-211,-1,2240,15.37886474,7.582634699,7.796230042,0.747583703,-23.28189245,-22.53430875
50,4,9,2,188,Alaska,Northwest Arctic Borough,7523,7523,7644,-29,158,89,69,5,-102,-17,-97,-1,400,20.6306718,11.62107462,9.00959718,0.652869361,-13.31853496,-12.6656656
50,4,9,2,195,Alaska,Petersburg Borough,3815,3207,3296,2,26,38,-12,10,2,1,12,2,43,7.890743551,11.53262519,-3.641881639,3.034901366,0.606980273,3.641881639
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559,6168,6147,-64,64,57,7,5,-76,26,-71,0,50,10.35766305,9.224793656,1.132869396,0.809192426,-12.29972487,-11.49053245
50,4,9,2,220,Alaska,Sitka City and Borough,8881,8881,8405,-96,80,51,29,18,-143,0,-125,0,257,9.464095587,6.033360937,3.43073465,2.129421507,-16.91707086,-14.78764936
50,4,9,2,230,Alaska,Skagway Municipality,968,968,1179,-14,6,16,-10,1,-5,-4,-4,0,32,5.059021922,13.49072513,-8.431703204,0.84317032,-4.215851602,-3.372681282
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029,7029,6957,78,96,48,48,23,8,10,31,-1,364,13.87684302,6.938421509,6.938421509,3.324660306,1.156403585,4.481063891
50,4,9,2,275,Alaska,Wrangell City and Borough,2369,2365,2510,-3,23,40,-17,7,6,2,13,1,17,9.157873781,15.92673701,-6.768863229,2.787178977,2.389010552,5.176189528
50,4,9,2,282,Alaska,Yakutat City and Borough,662,662,637,61,6,6,0,2,60,-3,62,-1,18,9.8928277,9.8928277,0,3.297609233,98.928277,102.2258862
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588,5583,5077,-177,78,69,9,0,-185,13,-185,-1,49,15.10018391,13.357855,1.742328913,0,-35.81453877,-35.81453877
40,4,8,4,0,Arizona,Arizona,6392017,6392292,7421401,129558,81451,66385,15066,9272,105434,5833,114706,-214,155824,11.07179355,9.023842737,2.047950812,1.260361073,14.33184959,15.59221066
50,4,8,4,1,Arizona,Apache County,71518,71514,71875,-45,891,774,117,29,-194,121,-165,3,953,12.3926423,10.76532564,1.627316666,0.403351994,-2.698285754,-2.29493376
50,4,8,4,3,Arizona,Cochise County,131346,131359,127450,202,1335,1442,-107,115,191,336,306,3,5393,10.4830034,11.32321416,-0.840210759,0.903030255,1.499815468,2.402845723
50,4,8,4,5,Arizona,Coconino County,134421,134435,142481,-1486,1440,963,477,86,-2049,-62,-1963,0,11916,10.05418086,6.723733453,3.330447411,0.600458024,-14.30626152,-13.7058035
50,4,8,4,7,Arizona,Gila County,53597,53592,54303,226,481,910,-429,17,644,19,661,-6,846,8.876176416,16.79276619,-7.916589777,0.313711017,11.88411146,12.19782248
50,4,8,4,9,Arizona,Graham County,37220,37212,39211,321,514,321,193,40,86,-143,126,2,2831,13.1624435,8.220125223,4.94231828,1.02431467,2.202276539,3.226591209
50,4,8,4,11,Arizona,Greenlee County,8437,8444,9341,-126,123,57,66,11,-202,-103,-191,-1,35,13.07954062,6.061250532,7.018290089,1.169715015,-21.48022118,-20.31050617
50,4,8,4,12,Arizona,La Paz County,20489,20489,21480,223,188,330,-142,71,295,-6,366,-1,361,8.797997052,15.4432927,-6.645295645,3.322647823,13.80536771,17.12801554
50,4,8,4,13,Arizona,Maricopa County,3817117,3817371,4579081,86820,52573,36247,16326,6185,64403,1410,70588,-94,65297,11.59100825,7.991540833,3.599467422,1.363635061,14.19922212,15.56285718
50,4,8,4,15,Arizona,Mohave County,200186,200181,217206,3360,1780,3656,-1876,-62,5322,234,5260,-24,4152,8.25886436,16.96315062,-8.704286258,-0.287668309,24.69307647,24.40540816
50,4,8,4,17,Arizona,Navajo County,107449,107488,112112,1075,1363,1227,136,55,884,-32,939,0,2214,12.21605295,10.99713644,1.218916509,0.492944176,7.922957307,8.415901483
50,4,8,4,19,Arizona,Pima County,980263,980266,1061175,11914,10667,11132,-465,1584,10778,606,12362,17,24584,10.10881164,10.54947888,-0.440667237,1.501111619,10.21400317,11.71511479
50,4,8,4,21,Arizona,Pinal County,375770,375766,480828,19188,4678,3777,901,405,17977,2550,18382,-95,23582,9.927127499,8.015126243,1.912001256,0.859445626,38.14877534,39.00822097
50,4,8,4,23,Arizona,Santa Cruz County,47420,47417,46808,80,612,371,241,129,-292,-162,-163,2,293,13.08587068,7.932774547,5.153096134,2.758296271,-6.243585358,-3.485289087
50,4,8,4,25,Arizona,Yavapai County,211033,211008,240226,4164,1798,3298,-1500,22,5671,192,5693,-29,3976,7.550053749,13.84876377,-6.298710024,0.09238108,23.81332303,23.90570411
50,4,8,4,27,Arizona,Yuma County,195751,195750,217824,3642,3008,1880,1128,585,1920,873,2505,9,9391,13.92573251,8.703582821,5.222149692,2.708295718,8.888765434,11.59706115
40,3,7,5,0,Arkansas,Arkansas,2915918,2916029,3030522,9537,36332,33832,2500,1517,5550,3340,7067,-30,82365,12.00758753,11.18134706,0.826240472,0.501362718,1.834253848,2.335616566
50,3,7,5,1,Arkansas,Arkansas County,19019,19045,17383,-132,208,236,-28,4,-109,-34,-105,1,247,11.92045389,13.52513038,-1.604676486,0.229239498,-6.24677632,-6.017536822
50,3,7,5,3,Arkansas,Ashley County,21853,21845,19339,-403,222,271,-49,-3,-347,-25,-350,-4,191,11.36101942,13.86863182,-2.507612395,-0.153527289,-17.75798982,-17.91151711
50,3,7,5,5,Arkansas,Baxter County,41513,41511,42242,264,350,753,-403,-5,677,56,672,-5,595,8.311564949,17.8817383,-9.570173355,-0.118736642,16.07694134,15.9582047
50,3,7,5,7,Arkansas,Benton County,221339,221348,288774,8939,3875,1998,1877,330,6765,684,7095,-33,2034,13.62975261,7.027676312,6.602076295,1.160727319,23.79491004,24.95563735
50,3,7,5,9,Arkansas,Boone County,36903,36918,37625,9,372,493,-121,-4,134,15,130,0,465,9.888225834,13.10455736,-3.216331521,-0.106325009,3.561887801,3.455562792
50,3,7,5,11,Arkansas,Bradley County,11508,11505,10639,-153,136,131,5,-1,-157,-7,-158,0,224,12.69189492,12.22528114,0.466613784,-0.093322757,-14.65167281,-14.74499557
50,3,7,5,13,Arkansas,Calhoun County,5368,5368,5113,-24,29,53,-24,0,-1,-16,-1,1,175,5.658536585,10.34146342,-4.682926829,0,-0.195121951,-0.195121951
50,3,7,5,15,Arkansas,Carroll County,27446,27451,28276,-76,322,331,-9,32,-98,67,-66,-1,230,11.37246592,11.69032987,-0.317863954,1.130182948,-3.461185279,-2.331002331
50,3,7,5,17,Arkansas,Chicot County,11800,11800,9924,-265,114,161,-47,0,-216,-15,-216,-2,734,11.33595187,16.00954607,-4.673594193,0,-21.47864565,-21.47864565
50,3,7,5,19,Arkansas,Clark County,22995,22992,22103,-262,218,259,-41,18,-237,-39,-219,-2,2976,9.804803454,11.64882612,-1.844022668,0.809570927,-10.65935054,-9.849779617
50,3,7,5,21,Arkansas,Clay County,16083,16083,14375,-119,153,208,-55,0,-64,16,-64,0,125,10.59960511,14.40992068,-3.810315563,0,-4.433821747,-4.433821747
50,3,7,5,23,Arkansas,Cleburne County,25970,25967,24935,-84,215,413,-198,-2,117,54,115,-1,339,8.607919286,16.5352124,-7.92729311,-0.080073668,4.684309565,4.604235897
50,3,7,5,25,Arkansas,Cleveland County,8689,8692,7957,20,65,94,-29,0,50,7,50,-1,52,8.179187115,11.8283629,-3.64917579,0,6.291682396,6.291682396
50,3,7,5,27,Arkansas,Columbia County,24552,24552,23331,-165,281,300,-19,3,-148,190,-145,-1,2204,12.001623,12.81312064,-0.81149764,0.128131206,-6.321139514,-6.193008307
50,3,7,5,29,Arkansas,Conway County,21273,21267,21037,132,239,238,1,15,116,-27,131,0,286,11.39669067,11.34900577,0.047684898,0.715273473,5.53144819,6.246721663
50,3,7,5,31,Arkansas,Craighead County,96443,96443,112245,1473,1544,1123,421,80,969,146,1049,3,3943,13.84647807,10.07098114,3.775496935,0.717434097,8.689920499,9.407354596
50,3,7,5,33,Arkansas,Crawford County,61948,61935,63409,3,714,719,-5,18,-12,10,6,2,540,11.26049758,11.3393526,-0.078855025,0.28387809,-0.18925206,0.09462603
50,3,7,5,35,Arkansas,Crittenden County,50902,50912,47616,-308,689,567,122,3,-433,-63,-430,0,1011,14.42327821,11.86937408,2.553904124,0.062800921,-9.064266276,-9.001465355
50,3,7,5,37,Arkansas,Cross County,17870,17885,16142,-191,199,225,-26,3,-167,-44,-164,-1,225,12.25558122,13.85681293,-1.601231717,0.184757506,-10.28483449,-10.10007698
50,3,7,5,39,Arkansas,Dallas County,8116,8124,6802,-149,53,87,-34,-1,-113,-35,-114,-1,401,7.707409293,12.65178507,-4.944375773,-0.145422817,-16.4327783,-16.57820112
50,3,7,5,41,Arkansas,Desha County,13008,13000,11110,-290,139,178,-39,17,-267,-40,-250,-1,56,12.35006664,15.81519325,-3.46512661,1.510439805,-23.72278987,-22.21235007
50,3,7,5,43,Arkansas,Drew County,18509,18517,17977,-115,247,213,34,-1,-147,149,-148,-1,781,13.69597161,11.81069617,1.885275444,-0.055449278,-8.151043833,-8.20649311
50,3,7,5,45,Arkansas,Faulkner County,113237,113242,126919,1091,1441,1012,429,104,549,594,653,9,4046,11.40270706,8.008008008,3.394699047,0.822957345,4.344265214,5.167222559
50,3,7,5,47,Arkansas,Franklin County,18125,18131,17897,160,173,203,-30,5,187,-2,192,-2,447,9.709827693,11.39361284,-1.683785149,0.280630858,10.4955941,10.77622495
50,3,7,5,49,Arkansas,Fulton County,12245,12231,12381,-135,119,223,-104,2,-32,18,-30,-1,165,9.559384665,17.91380488,-8.354420211,0.160661927,-2.570590834,-2.409928907
50,3,7,5,51,Arkansas,Garland County,96024,96003,99789,317,1043,1445,-402,12,711,148,723,-4,2164,10.46868178,14.50359077,-4.034908989,0.120445044,7.136368883,7.256813928
50,3,7,5,53,Arkansas,Grant County,17853,17842,18449,162,182,201,-19,0,181,30,181,0,143,9.908536585,10.94294425,-1.034407666,0,9.854094077,9.854094077
50,3,7,5,55,Arkansas,Greene County,42090,42090,45597,281,534,539,-5,-4,290,74,286,0,601,11.74749486,11.85749013,-0.10999527,-0.087996216,6.379725672,6.291729456
50,3,7,5,57,Arkansas,Hempstead County,22609,22593,21253,-315,274,251,23,2,-337,-47,-335,-3,301,12.79745919,11.72321992,1.074239275,0.093412111,-15.73994068,-15.64652857
